Region,Serpo,Segmen
NSRO (North Sumatera),Medan Inner 1,Delitua - Asrama Haji
NSRO (North Sumatera),Medan Inner 1,Delitua - Astra
NSRO (North Sumatera),Medan Inner 1,Astra - SGI
NSRO (North Sumatera),Medan Inner 2,Akses Pantai Cermin (To Jl Besar Pantai Cermin)
NSRO (North Sumatera),Medan Inner 2,Akses BTS Lubuk Pakam (to Jl Besar Lubuk Pakam)
NSRO (North Sumatera),Medan Inner 2,Akses Binjai Kuburan - Exist via Jl Olahraga
NSRO (North Sumatera),Medan Inner 2,Akses Binjai Kuburan - Exist via Jl Gurame
NSRO (North Sumatera),Medan Inner 2,B2B Medan-B1 (05MDN014 KIM) - SLACK Jl. Marelan Raya
NSRO (North Sumatera),Medan Inner 2,Akses Krakatau - SLACK Jl. Kol. Yos Sudarso
NSRO (North Sumatera),Padang Sidempuan,Tobotan - Sidomulyo
NSRO (North Sumatera),Padang Sidempuan,Sidomulyo - Sibolga
NSRO (North Sumatera),Padang Sidempuan,Akses Binanga
NSRO (North Sumatera),Padang Sidempuan,Akses Ujung Batu Tapsel
NSRO (North Sumatera),Seribu Dolok,Sidikalang - Rd Pakpak
NSRO (North Sumatera),Seribu Dolok,Sidiangkat - Sidikalang
NSRO (North Sumatera),Seribu Dolok,Kabanjahe - Kandibata
NSRO (North Sumatera),Subulussalam,Rimo Singkil - Simpang Gajah
NSRO (North Sumatera),Subulussalam,Rimo Singkil - RTO Singkil
NSRO (North Sumatera),Subulussalam,Akses Penanggalan (Penanggalan - Simpang Gajah)
NSRO (North Sumatera),Subulussalam,Akses Penanggalan (Penanggalan - Rd Pakpak)
NSRO (North Sumatera),Ujung Tanjung,Ujung Tanjung - BTS
NSRO (North Sumatera),Ujung Tanjung,Ujung Tanjung - BTS New
NSRO (North Sumatera),Dumai,Pangkalan Kerinci - Buatan
NSRO (North Sumatera),Dumai,Pangkalan Kerinci - Sorek
NSRO (North Sumatera),Dumai,Empang Pandan - Buatan
NSRO (North Sumatera),Aster,Duri - Kandis
NSRO (North Sumatera),Kandis/Duri,Kandis - Jondul
NSRO (North Sumatera),Kandis/Duri,Rumbai - Jondul
NSRO (North Sumatera),Kandis/Duri,Perawang - Buatan
NSRO (North Sumatera),Pekanbaru BB,MSC Airport - Pandau
NSRO (North Sumatera),Pekanbaru BB,Pandau - Unri
NSRO (North Sumatera),Pekanbaru Inner,Akses Simpang Panam
NSRO (North Sumatera),Pekanbaru BB,Jondul - Hangtuah
NSRO (North Sumatera),Pekanbaru BB,Hangtuah - Harapan Raya
NSRO (North Sumatera),Pekanbaru BB,Pandau - Sungai Pagar
NSRO (North Sumatera),Dumai,Buatan - Siak Sri Indrapura
NSRO (North Sumatera),Pekanbaru Inner,Pandau - Pantai Raja
NSRO (North Sumatera),Pekanbaru Inner,Sungai Pagar - Kebun Durian
NSRO (North Sumatera),Pekanbaru Inner,Sungai Pagar - Lipat Kain
NSRO (North Sumatera),Pekanbaru Inner,Sungai Pagar - Pantai Raja
NSRO (North Sumatera),Pekanbaru Inner,Kebun Durian - Lipat Kain
NSRO (North Sumatera),Pekanbaru Inner,Lipat Kain - Rd Muara Lembu
NSRO (North Sumatera),Pekanbaru Inner,B2B Bank Mandiri Cabang Pekanbaru Sudirman Atas
NSRO (North Sumatera),Rengat,Air Molek - Simpang Kelayang
NSRO (North Sumatera),Rengat,Simpang Kelayang - Baserah
NSRO (North Sumatera),Rengat,Simpang Kelayang - RSP Kelayang
NSRO (North Sumatera),Rengat,Sorek - Ukui
NSRO (North Sumatera),Rengat,Akses Air Molek
NSRO (North Sumatera),Rengat,Pematang Rebah - Rengat
NSRO (North Sumatera),Rengat,Pematang Rebah - Ukui
NSRO (North Sumatera),Payakumbuh,Pangkalan Tengah - Pangkalan Padang
NSRO (North Sumatera),Payakumbuh,Koto Baru - Aur Kuning
NSRO (North Sumatera),Payakumbuh,Payakumbuh 50 Kota - Payakumbuh 2
NSRO (North Sumatera),Payakumbuh,Payakumbuh 2 - Batusangkar
NSRO (North Sumatera),Payakumbuh,Akses Matur (Matur - Koto Baru)
NSRO (North Sumatera),Payakumbuh,Akses Matur (Matur - Gadut)
NSRO (North Sumatera),Payakumbuh,Gadut - Aur Kuning
NSRO (North Sumatera),Padang,Lubuk Begalung - Lolong
NSRO (North Sumatera),Padang,Lubuk Begalung - Tabing In Kiri
NSRO (North Sumatera),Padang,Lubuk Begalung - Tabing Out Kanan
NSRO (North Sumatera),Padang,"Akses Bayang - Lubuk Begalung by XL (Lubuk Begalung ke HH XL 1,6km/Bayang ke HH XL 8km)"
NSRO (North Sumatera),Padang,Lubuk Begalung - Bayang
NSRO (North Sumatera),Padang,Akses Sawahan
NSRO (North Sumatera),Padang,Akses Jati Tengah
NSRO (North Sumatera),Padang,Akses Bayang - Surantih
NSRO (North Sumatera),Padang,Akses Surantih - Bayang
NSRO (North Sumatera),Padang,Akses Surantih - Air Haji
NSRO (North Sumatera),Solok,Solok XL In
NSRO (North Sumatera),Solok,Solok XL Out
NSRO (North Sumatera),Solok,Batusangkar - Ombilin
NSRO (North Sumatera),Solok,Branching Solok - Ombilin
NSRO (North Sumatera),Bawan,Simpang 4 - Sungai Aur
NSRO (North Sumatera),Bawan,Simpang 4 - Mp4cell
NSRO (North Sumatera),Bawan,Ujung Gading - Sungai Aur
NSRO (North Sumatera),Bawan,Akses Kajai
NSRO (North Sumatera),Bawan,Akses Simpang 3
NSRO (North Sumatera),Bawan,Akses Talu
NSRO (North Sumatera),Panti,Plawas - Lubuk Sikaping
NSRO (North Sumatera),Panti,Plawas - Panti
NSRO (North Sumatera),Panti,Bonjol - Lubuk Sikaping
NSRO (North Sumatera),Bukit Tinggi,Bonjol - Aur Kuning
NSRO (North Sumatera),Panti,Lubuk Sikaping - Panti
NSRO (North Sumatera),Panti,Lubuk Sikaping - Aur Kuning
NSRO (North Sumatera),Panti,Lubuk Sikaping - Air Manggis
NSRO (North Sumatera),Panti,Plawas - Air Manggis
JBRO (Jabo+Sukabumi),Bekasi Barat,Mutiara Gading - Baktiak Bojong & Pondok Ungu
JBRO (Jabo+Sukabumi),Bekasi Barat,Setia Mulya - Mutiara Gading & Baktiak Bojong
JBRO (Jabo+Sukabumi),Bekasi Barat,Suryaman - Dacosta
JBRO (Jabo+Sukabumi),Bekasi Barat,Suryaman - Pondok Kelapa
JBRO (Jabo+Sukabumi),Bekasi Utara,Tanjung Pakis - RKFO Bekasi
JBRO (Jabo+Sukabumi),Bekasi Utara,Tanjung Pakis - SGC Cikarang
JBRO (Jabo+Sukabumi),Bogor Barat,Cipadung - Ciomas
JBRO (Jabo+Sukabumi),Bogor Barat,Cipadung - Petir
JBRO (Jabo+Sukabumi),Bogor Barat,Kampung Manis - Cigudeg
JBRO (Jabo+Sukabumi),Cikarang,Jatireja - Rengas Bandung
JBRO (Jabo+Sukabumi),Cikarang,Jatireja - Tegal Mulya
JBRO (Jabo+Sukabumi),Cikarang,Tegal Mulya - OTB 1
JBRO (Jabo+Sukabumi),Cikarang,Tegal Mulya - OTB 2
JBRO (Jabo+Sukabumi),Cikarang,Pasir Randu
JBRO (Jabo+Sukabumi),Karawang Barat,Batujaya - Tanjung Pakis
JBRO (Jabo+Sukabumi),Karawang Barat,Karawang City - Bank Mandiri
JBRO (Jabo+Sukabumi),Karawang Barat,Karawang City - SGC
JBRO (Jabo+Sukabumi),Karawang Barat,KIIC
JBRO (Jabo+Sukabumi),Sukabumi Barat,Cibadak New PL
JBRO (Jabo+Sukabumi),Sukabumi Barat,Cicurug - OTB
JBRO (Jabo+Sukabumi),Sukabumi Barat,Pasar Cicurug - Cicurug
JBRO (Jabo+Sukabumi),Sukabumi Barat,STO KL Panunggal - KL Panunggal
JBRO (Jabo+Sukabumi),Sukabumi Barat,STO KL Panunggal - Parungkuda
JBRO (Jabo+Sukabumi),Pandeglang,Bojong - Aksan
JBRO (Jabo+Sukabumi),Pandeglang,Bojong - Cikadu
JBRO (Jabo+Sukabumi),Pandeglang,Malingping - Road Cikeusik
JBRO (Jabo+Sukabumi),Pandeglang,Cilegong - Bojong & Kampung Sawah
JBRO (Jabo+Sukabumi),Serang Barat,Bongla - Pabuaran & Cipacak
JBRO (Jabo+Sukabumi),Serang Barat,Cadasari - Cipacak
JBRO (Jabo+Sukabumi),Serang Barat,Cadasari - Pandeglang
JBRO (Jabo+Sukabumi),Serang Timur,Bayongbong - Bumijaya
JBRO (Jabo+Sukabumi),Anyer,Cikande - Cijeruk
JBRO (Jabo+Sukabumi),Anyer,Cikande - Serang City & Kedaton
JBRO (Jabo+Sukabumi),Serang Timur,Ciruas - Cikande
JBRO (Jabo+Sukabumi),Serang Timur,Ciruas - Serang City
JBRO (Jabo+Sukabumi),Anyer,Ketos Cikande - Cijeruk
JBRO (Jabo+Sukabumi),Serang Timur,Tirtayasa - Bayongbong
JBRO (Jabo+Sukabumi),Serang Timur,Tirtayasa - Ketos Cikande
JBRO (Jabo+Sukabumi),Cilegon,Carita Road - Cigading & Carita Bay
JBRO (Jabo+Sukabumi),Cilegon,Cilegon FO - Aksan & Jasutra
JBRO (Jabo+Sukabumi),Cilegon,Cilegon FO - Cigading
JBRO (Jabo+Sukabumi),Cilegon,Mambruk - Cigading & Aksan
JBRO (Jabo+Sukabumi),Cilegon,Unyur - Cilegon
JBRO (Jabo+Sukabumi),Cilegon,Unyur - Serang City
JBRO (Jabo+Sukabumi),Tangerang Inner,Modernland - DMC & Lippo Karawaci
JBRO (Jabo+Sukabumi),Tangerang Utara,PDAM Tangerang - Bumi Indah
JBRO (Jabo+Sukabumi),Tangerang Utara,Yakub Bugel - Curug Toll
JBRO (Jabo+Sukabumi),Tangerang Utara,Wilan Tangerang - Bumi Indah
JBRO (Jabo+Sukabumi),Tangerang Utara,Wilan Tangerang - Yakub Bugel
JBRO (Jabo+Sukabumi),Bekasi Barat,Bougenville - Suryaman
JBRO (Jabo+Sukabumi),Bekasi Utara,MM2100 - DCI
JBRO (Jabo+Sukabumi),Bekasi Utara,MM2100 - HHKYB
JBRO (Jabo+Sukabumi),Bekasi Barat,Empang - Pondok Gede
JBRO (Jabo+Sukabumi),Bekasi Barat,Jati Bening - Pasar Rebo
JBRO (Jabo+Sukabumi),Bekasi Barat,Jati Sari - KL Pratama & ODF Bekasi
JBRO (Jabo+Sukabumi),Bekasi Barat,Abubakar - Pondok Ungu
JBRO (Jabo+Sukabumi),Bekasi Barat,Bidara - Baktiak Bojong & Marunda Baru
JBRO (Jabo+Sukabumi),Bekasi Barat,MSC Pondok Gede - ODF 1
JBRO (Jabo+Sukabumi),Bekasi Barat,MSC Pondok Gede - ODF 2
JBRO (Jabo+Sukabumi),Bekasi Barat,MSC Pondok Gede - ODF 3
JBRO (Jabo+Sukabumi),Bekasi Barat,MSC Pondok Gede - ODF 4
JBRO (Jabo+Sukabumi),Bekasi Barat,Pondok Ungu - Cilincing
JBRO (Jabo+Sukabumi),Bekasi Barat,Pondok Ungu - Sarloji & Bumi Alinda
JBRO (Jabo+Sukabumi),Bekasi Barat,Jati Waringin Asri
JBRO (Jabo+Sukabumi),Bekasi Selatan,Taman - Sumarsono
JBRO (Jabo+Sukabumi),Cikarang,Taman Rahayu - Mekarwangi
JBRO (Jabo+Sukabumi),Bekasi Selatan,Alfa Bulak Kapal - Dadang & Siliwangi
JBRO (Jabo+Sukabumi),Bekasi Selatan,Cipendawa
JBRO (Jabo+Sukabumi),Bekasi Selatan,Legend City - Bojong Menteng
JBRO (Jabo+Sukabumi),Bekasi Selatan,Legend City - OTB
JBRO (Jabo+Sukabumi),Bekasi Barat,Alam Indah - Bumi Alinda & Taman Harapan Baru
JBRO (Jabo+Sukabumi),Bekasi Selatan,Bekasi Permai - Rawa Aren
JBRO (Jabo+Sukabumi),Bekasi Selatan,Bumi Alinda - Alam Indah
JBRO (Jabo+Sukabumi),Bekasi Selatan,Harapan Baru - Villa Indah
JBRO (Jabo+Sukabumi),Bekasi Barat,Harapan Indah
JBRO (Jabo+Sukabumi),Bekasi Barat,Kalibaru Kranji - SMA
JBRO (Jabo+Sukabumi),Bekasi Selatan,Taman Wisma Asri - OTB 1
JBRO (Jabo+Sukabumi),Bekasi Selatan,Taman Wisma Asri - OTB 2
JBRO (Jabo+Sukabumi),Bekasi Selatan,Aneka Boga - Pondok Kelapa
JBRO (Jabo+Sukabumi),Cikarang,SGC - Imam Bonjol
JBRO (Jabo+Sukabumi),Cikarang,SGC - Sukatani 48
JBRO (Jabo+Sukabumi),Cikarang,SGC - Sukatani 96
JBRO (Jabo+Sukabumi),Bekasi Selatan,Muara Bakti - Babelan
JBRO (Jabo+Sukabumi),Bekasi Selatan,Muara Bakti - Tanjung Pakis
JBRO (Jabo+Sukabumi),Bekasi Selatan,Mangunjaya Bekasi
JBRO (Jabo+Sukabumi),Cikarang,Wanasari - BCR
JBRO (Jabo+Sukabumi),Cikarang,Sarloji - OTB 1
JBRO (Jabo+Sukabumi),Cikarang,Sarloji - OTB 2
JBRO (Jabo+Sukabumi),Cikarang,Sarloji - Wanasari
JBRO (Jabo+Sukabumi),Bekasi Selatan,Sumarsono - Babelan
JBRO (Jabo+Sukabumi),Bekasi Selatan,Sumarsono - Duta Harapan
JBRO (Jabo+Sukabumi),Bekasi Barat,MM2100A Cibuntu - Mekarwangi
JBRO (Jabo+Sukabumi),Bekasi Barat,MM2100A Cibuntu - MM2100
JBRO (Jabo+Sukabumi),Bekasi Barat,MM2100A Cibuntu - PGD
JBRO (Jabo+Sukabumi),Bogor Barat,Ijah - Jampang
JBRO (Jabo+Sukabumi),Bogor Barat,Cigudeg - Kampung Manis
JBRO (Jabo+Sukabumi),Bogor Barat,Cibening - Narasoma & Gunung Salak Endah
JBRO (Jabo+Sukabumi),Bogor Barat,Jogalajaya - Jasinga & PTPN
JBRO (Jabo+Sukabumi),Bogor Barat,Koleang - Jasinga
JBRO (Jabo+Sukabumi),Bogor Barat,Lumpang - Legok
JBRO (Jabo+Sukabumi),Bogor Barat,Lumpang - Lebakwangi
JBRO (Jabo+Sukabumi),Bogor Barat,Petir - Ciomas
JBRO (Jabo+Sukabumi),Bogor Barat,Margajaya - Narasoma & Petir
JBRO (Jabo+Sukabumi),Bogor Timur,Dudulan - Jagorawi KM38
JBRO (Jabo+Sukabumi),Bogor Timur,Dudulan - Kebon Singkong
JBRO (Jabo+Sukabumi),Bogor Timur,Dudulan - Salim
JBRO (Jabo+Sukabumi),Bogor Timur,Kedung Badak - Ijah & Narasoma
JBRO (Jabo+Sukabumi),Bogor Timur,Pahlawan - Pakuan
JBRO (Jabo+Sukabumi),Bogor Timur,Pahlawan - Pancasan
JBRO (Jabo+Sukabumi),Bogor Timur,Bendungan Ciawi
JBRO (Jabo+Sukabumi),Bogor Timur,Caringin - Narasoma
JBRO (Jabo+Sukabumi),Bogor Timur,Caringin - Rancamaya
JBRO (Jabo+Sukabumi),Bogor Timur,Cikaret - Ciomas
JBRO (Jabo+Sukabumi),Bogor Barat,Cilebut
JBRO (Jabo+Sukabumi),Bogor Timur,Ciomas - Ciomas Rahayu
JBRO (Jabo+Sukabumi),Bogor Timur,Ciomas - Pancasanatas
JBRO (Jabo+Sukabumi),Bogor Timur,Ciomas Rahayu - Pagelaran
JBRO (Jabo+Sukabumi),Bogor Timur,Ciremai Ujung
JBRO (Jabo+Sukabumi),Bogor Timur,Jagorawi KM38 - Narasoma
JBRO (Jabo+Sukabumi),Bogor Timur,Kebon Singkong - Cileungsi
JBRO (Jabo+Sukabumi),Bogor Timur,Kebon Singkong - Soneville
JBRO (Jabo+Sukabumi),Bogor Timur,Kedung Halang
JBRO (Jabo+Sukabumi),Bogor Timur,Pajajaran 2
JBRO (Jabo+Sukabumi),Bogor Timur,Kosim Caringin - Caringin
JBRO (Jabo+Sukabumi),Bogor Timur,Narasoma - Jasinga
JBRO (Jabo+Sukabumi),Bogor Timur,Narasoma - Pacet
JBRO (Jabo+Sukabumi),Bogor Timur,Pakuan - Bantar Jati
JBRO (Jabo+Sukabumi),Bogor Timur,Pamoyanan - Pakuan Pahlawan
JBRO (Jabo+Sukabumi),Bogor Timur,Pamoyanan - RCHD
JBRO (Jabo+Sukabumi),Bogor Timur,Puncak Manis
JBRO (Jabo+Sukabumi),Bogor Timur,Sigma - PKPM Lantai 3
JBRO (Jabo+Sukabumi),Bogor Timur,Sigma - Deutch Bank
JBRO (Jabo+Sukabumi),Bogor Timur,Ciapus - Sukamantri
JBRO (Jabo+Sukabumi),Bogor Timur,Bantarjati
JBRO (Jabo+Sukabumi),Bogor Timur,Sigma Dudu
JBRO (Jabo+Sukabumi),Bogor Timur,Raya Puncak
JBRO (Jabo+Sukabumi),Bogor Timur,Kedung Waringin
JBRO (Jabo+Sukabumi),Bogor Timur,Irwan - PBT
JBRO (Jabo+Sukabumi),Bogor Timur,Sawojajar
JBRO (Jabo+Sukabumi),Bogor Timur,Tribatutulis
JBRO (Jabo+Sukabumi),Cikarang,Ana Imam Bonjol - OTB 1
JBRO (Jabo+Sukabumi),Cikarang,Ana Imam Bonjol - OTB 2
JBRO (Jabo+Sukabumi),Cikarang,Lippo Cikarang
JBRO (Jabo+Sukabumi),Cikarang,Lippo City
JBRO (Jabo+Sukabumi),Depok Outer,Jonggol - GRDU
JBRO (Jabo+Sukabumi),Depok Outer,Jonggol - PGD - MGK
JBRO (Jabo+Sukabumi),Depok Outer,Jonggol - SGRS - HRKG
JBRO (Jabo+Sukabumi),Cilegon,Cigading - Semen Indonesia
JBRO (Jabo+Sukabumi),Cilegon,Cigading - Masali Carita & Aksan
JBRO (Jabo+Sukabumi),Cilegon,Cilegon Barat - Merak Balamaja
JBRO (Jabo+Sukabumi),Depok Inner,Matoa - LMGR
JBRO (Jabo+Sukabumi),Depok Inner,Matoa - MSR
JBRO (Jabo+Sukabumi),Depok Inner,Raya Citayam
JBRO (Jabo+Sukabumi),Depok Inner,Ridwan Citayam - KMU
JBRO (Jabo+Sukabumi),Depok Inner,Ridwan Citayam - PSD
JBRO (Jabo+Sukabumi),Depok Outer,Sonneville - BNA
JBRO (Jabo+Sukabumi),Depok Outer,Sonneville - OTB 2
JBRO (Jabo+Sukabumi),Depok Outer,Sonneville - OTB 3
JBRO (Jabo+Sukabumi),Depok Inner,Tarkimin
JBRO (Jabo+Sukabumi),Depok Inner,Tip Top Depok
JBRO (Jabo+Sukabumi),Depok Outer,Crisis Centre - Alfamart
JBRO (Jabo+Sukabumi),Depok Outer,Crisis Centre - Backbone Cileungsi
JBRO (Jabo+Sukabumi),Depok Outer,Crisis Centre - Backbone Metro
JBRO (Jabo+Sukabumi),Depok Outer,Crisis Centre - OTB
JBRO (Jabo+Sukabumi),Depok Outer,Crisis Centre - OTB 2
JBRO (Jabo+Sukabumi),Depok Outer,Crisis Centre - OTB Backbone
JBRO (Jabo+Sukabumi),Depok Outer,RKFO Cileungsi - Kebon Singkong
JBRO (Jabo+Sukabumi),Depok Outer,Sumadi Cibinong - JPG
JBRO (Jabo+Sukabumi),Depok Outer,Sumadi Cibinong - Mandala Ayu Depok
JBRO (Jabo+Sukabumi),Depok Outer,Sumadi Cibinong - MRDP
JBRO (Jabo+Sukabumi),Depok Outer,Sumadi Cibinong - OTB
JBRO (Jabo+Sukabumi),Depok Outer,Sumadi Cibinong - OTB 2
JBRO (Jabo+Sukabumi),Depok Outer,Citereup Cibinong - Metro Narasoma Soneville
JBRO (Jabo+Sukabumi),Depok Inner,Pesona Depok - DPKM
JBRO (Jabo+Sukabumi),Depok Inner,Pesona Depok - CTY
JBRO (Jabo+Sukabumi),Depok Inner,Pesona Depok - 96 Core
JBRO (Jabo+Sukabumi),Depok Inner,Pesona Depok - 216 Core
JBRO (Jabo+Sukabumi),Depok Inner,Pesona Depok - 48 Core
JBRO (Jabo+Sukabumi),Depok Inner,Sawangan - BJSO
JBRO (Jabo+Sukabumi),Depok Inner,Sawangan - CRU
JBRO (Jabo+Sukabumi),Depok Inner,Asrama Brimob
JBRO (Jabo+Sukabumi),Depok Outer,Bukaka - PSR
JBRO (Jabo+Sukabumi),Depok Inner,Ciketing Udik - LMUS
JBRO (Jabo+Sukabumi),Depok Inner,Limus
JBRO (Jabo+Sukabumi),Depok Outer,Mercedes - BGCB - CKUD
JBRO (Jabo+Sukabumi),Depok Outer,Mercedes - JHDC
JBRO (Jabo+Sukabumi),Depok Outer,Pancing Galeri
JBRO (Jabo+Sukabumi),Depok Outer,Sirsak Jagakarsa
JBRO (Jabo+Sukabumi),Depok Outer,Vitara Raya
JBRO (Jabo+Sukabumi),Depok Outer,Larafane
JBRO (Jabo+Sukabumi),Jakarta Selatan,Kampung Sawah Depok - SLM
JBRO (Jabo+Sukabumi),Karawang Timur,Surya Cipta - Cikampek
JBRO (Jabo+Sukabumi),Karawang Timur,Surya Cipta - PT.Bekaret Indonesia
JBRO (Jabo+Sukabumi),Karawang Timur,Surya Cipta - Karawang City
JBRO (Jabo+Sukabumi),Karawang Timur,Surya Cipta - OTB 96 Atas
JBRO (Jabo+Sukabumi),Karawang Timur,Surya Cipta - OTB 96 Bawah
JBRO (Jabo+Sukabumi),Karawang Timur,Telaga Sari - Komala Lemah Abang
JBRO (Jabo+Sukabumi),Karawang Timur,Telaga Sari - Karawang City
JBRO (Jabo+Sukabumi),Karawang Barat,Rengasdengklok - Pedes
JBRO (Jabo+Sukabumi),Karawang Barat,Rengasdengklok - Sukatani
JBRO (Jabo+Sukabumi),Karawang Barat,Pebayuran - Rengasdengklok
JBRO (Jabo+Sukabumi),Karawang Barat,Karaba Indah
JBRO (Jabo+Sukabumi),Karawang Timur,Cikalong Sari - OTB 24 Atas
JBRO (Jabo+Sukabumi),Karawang Timur,Cikalong Sari - Jatisari
JBRO (Jabo+Sukabumi),Karawang Timur,Indotaisei - OTB 48 Core
JBRO (Jabo+Sukabumi),Karawang Timur,Pasar Cikampek - Cikampek Utara
JBRO (Jabo+Sukabumi),Karawang Timur,Pasar Cikampek - Karawang City
JBRO (Jabo+Sukabumi),Karawang Timur,Pasar Cikampek - OTB 24
JBRO (Jabo+Sukabumi),Karawang Timur,Karawang Kulon
JBRO (Jabo+Sukabumi),Pandeglang,Cikadu LBK - Bayah
JBRO (Jabo+Sukabumi),Pandeglang,Cikadu LBK - Tline
JBRO (Jabo+Sukabumi),Serang Barat,Cimarga RKB
JBRO (Jabo+Sukabumi),Pandeglang,Muara LBK - Cikadu
JBRO (Jabo+Sukabumi),Pandeglang,Muara LBK - OTB 2
JBRO (Jabo+Sukabumi),Pandeglang,Muara LBK - OTB 24
JBRO (Jabo+Sukabumi),Panimbang,Aksan - Rangkas
JBRO (Jabo+Sukabumi),Panimbang,Aksan - Cilegon
JBRO (Jabo+Sukabumi),Anyer,Balaraja Toll - Cikande Kota - Kedaton
JBRO (Jabo+Sukabumi),Anyer,Cikande Kota - Bayongbong
JBRO (Jabo+Sukabumi),Anyer,Cikande Kota - Pangikat
JBRO (Jabo+Sukabumi),Anyer,Cikande SPBU - Cikande & Cijeruk
JBRO (Jabo+Sukabumi),Serang Timur,Serang Timur Toll Gate - Panancangan Pasir
JBRO (Jabo+Sukabumi),Serang Timur,Serang Timur Toll Gate - RAU - Serang City Utara
JBRO (Jabo+Sukabumi),Serang Timur,Bantengirang - Ciemas Raya - Saribanon
JBRO (Jabo+Sukabumi),Serang Timur,Baros - Cipacak - Rd Baros Petir
JBRO (Jabo+Sukabumi),Serang Timur,Blokang - Patapan
JBRO (Jabo+Sukabumi),Serang Timur,Cerlang - Mancak - KP Gambiran
JBRO (Jabo+Sukabumi),Serang Timur,Ciomas Pandeglang - Kp. Ciherang
JBRO (Jabo+Sukabumi),Serang Timur,Desa Sepang - Serang City
JBRO (Jabo+Sukabumi),Serang Timur,Mall Serang - Serang City - HUT Serang
JBRO (Jabo+Sukabumi),Serang Timur,Mander - Blokang
JBRO (Jabo+Sukabumi),Serang Timur,Mayabun - Ciemas Raya
JBRO (Jabo+Sukabumi),Serang Timur,Pasarrau Panacangan Pasir - Serang City Utara
JBRO (Jabo+Sukabumi),Serang Timur,Pontang - Kencana Harapan - Sukajaya
JBRO (Jabo+Sukabumi),Serang Timur,Road Serang - Pandeglang
JBRO (Jabo+Sukabumi),Serang Timur,Serang Selatan - Nancang Wetan - Dalung
JBRO (Jabo+Sukabumi),Serang Timur,Mall Kagungan - Serang City
JBRO (Jabo+Sukabumi),Serang Timur,Pematang Kupa - Mancak - Mancak Ciemas
JBRO (Jabo+Sukabumi),Serang Timur,Namboilir - Tambakkibin Serang
JBRO (Jabo+Sukabumi),Serang Timur,Tambakkibin - Cijeruk - Nambo
JBRO (Jabo+Sukabumi),Sukabumi Barat,Batununggal
JBRO (Jabo+Sukabumi),Sukabumi Barat,KL Panunggal - Cidahu
JBRO (Jabo+Sukabumi),Sukabumi Barat,KL Panunggal - Parungkuda
JBRO (Jabo+Sukabumi),Sukabumi Barat,Surya Kencana - Purabaya
JBRO (Jabo+Sukabumi),Sukabumi Barat,Surya Kencana - Warung Kondang
JBRO (Jabo+Sukabumi),Tangerang Selatan,MSC Serpong - ODF 3
JBRO (Jabo+Sukabumi),Tangerang Selatan,MSC Serpong - ODF 4
JBRO (Jabo+Sukabumi),Tangerang Selatan,MSC Serpong - ODF 5
JBRO (Jabo+Sukabumi),Tangerang Selatan,MSC Serpong - ODF 6
JBRO (Jabo+Sukabumi),Tangerang Selatan,Nusa Loka BSD - Puspita Loka
JBRO (Jabo+Sukabumi),Tangerang Inner,Pondok Pakulonan - BSD Toll Gate
JBRO (Jabo+Sukabumi),Tangerang Inner,Pondok Pakulonan - Graha Raya
JBRO (Jabo+Sukabumi),Tangerang Selatan,Wisma BSD - MSC Serpong
JBRO (Jabo+Sukabumi),Tangerang Selatan,Mukhtar - Cinere Estate
JBRO (Jabo+Sukabumi),Tangerang Selatan,Nirwana Serpong - MSC Serpong
WJRO (West Java),Bandung 1,LEUWIGAJAH-CIMAHI CITY
WJRO (West Java),Bandung 2,Dandeur-HH (majalaya)
WJRO (West Java),Banjar,Lakbok - Cipari
WJRO (West Java),Ciamis,Cikoneng - JT-05 IBB-CMIS 007
WJRO (West Java),Ciamis,Cianda - Sukamenak
WJRO (West Java),Ciamis,Cisayong - Cianda
WJRO (West Java),Cirebon 1,Kalijaga - Kangraksan
WJRO (West Java),Cirebon 2,Klayan - HH Akses
WJRO (West Java),Cirebon 2,Plumbon - Jatiwangi
WJRO (West Java),Cirebon 2,Plumbon - Losari
WJRO (West Java),Cirebon 2,Ciwaringin - HH Akses
WJRO (West Java),Tasikmalaya Selatan,Cipatujah Tasikmalaya - HH Akses
WJRO (West Java),Tasikmalaya Selatan,Cipatujah - Nodal Cipatujah
WJRO (West Java),Garut Utara,Cisurupan - HH Akses
WJRO (West Java),Garut Utara,Cikajang - Cigugur
WJRO (West Java),Majalengka,Kadipaten - Majalengka
WJRO (West Java),Majalengka,Kadipaten - Cicaruy
WJRO (West Java),Majalengka,Kebon Jati Sumedang - HH Akses
WJRO (West Java),Majalengka,Terminal Sumedang - HH Akses
WJRO (West Java),Majalengka,Paseh Jatiwangi - HH Akses
WJRO (West Java),Garut Selatan,TSM Cipatujah
WJRO (West Java),Sukanagara,Parabon - Pagelaran
WJRO (West Java),Sukanagara,Cibinong - Sindang Barang (JCO XL)
WJRO (West Java),Sukanagara,Cibinong - Ciwidey (JCO XL)
WJRO (West Java),Subang,Kopo Permai - Ciater
WJRO (West Java),Subang,Kalijati - Nodal Ciater
WJRO (West Java),Subang,Sukamandi - HH Akses
CJRO (Central Java),Bumiayu,SINDANGWANG_TB-CIPANAS
CJRO (Central Java),Bumiayu,LINGGAPURA
CJRO (Central Java),Sokaraja,BANYUMAS
CJRO (Central Java),Purwodadi,MRANGGEN-TEGOWANU
